Internal ID,going out,gender,age,country,area,dress,day,"Click Coordinates (x, y)",Media
90313039,No,Female,26,United States,Washington,White and gold,Friday,"(74, 21)",Science
90313049,No,Female,39,United States,New York,Blue and black,Sunday,"(63, 22)",Science
90313164,No,Female,34,Canada,British Columbia,White and gold,Friday,"(74, 20)",Science
90313947,No,Female,43,Canada,British Columbia,White and gold,Friday,"(62, 4)",Science
90313974,No,Female,40,Canada,British Columbia,White and gold,Sunday,"(68, 29)",Science
90314022,No,Female,26,United States,Michigan,White and gold,Friday,"(68, 39)",Science
90314359,No,Male,24,United States,Maryland,White and gold,Friday,Unknown,Unknown
90314580,No,Female,33,United States,New York,Blue and black,Friday,"(70, 26)",Science
90314634,No,Female,26,United States,Tennessee,Blue and black,Friday,"(67, 35)",Science
90314802,No,Female,66,United States,Pennsylvania,White and gold,Sunday,"(19, 26)",Daily Dish
